time,X,Y,Vx,Vy,Ax,Ay
1.3970553,-599.9999,-418.594,5.186324E-05,-13.3094,3.712325E-05,1.54438E-10
1.3970553,3.632994E+08,1111.614,-0.00421627,1082,-0.00301797,-1.255709E-08
1.3970553,3.57854E+07,4261.007,-0.4344794,3336.309,-0.3109965,-4.017579E-05
1.4140218,-599.9999,-418.8198,5.249309E-05,-13.3094,3.712325E-05,1.563619E-10
1.4140218,3.632994E+08,1129.972,-0.004267475,1082,-0.00301797,-1.271347E-08
1.4140218,3.57854E+07,4317.613,-0.4397559,3336.309,-0.3109965,-4.067623E-05
1.4310622,-599.9999,-419.0466,5.312568E-05,-13.3094,3.712325E-05,1.582609E-10
1.4310622,3.632994E+08,1148.41,-0.004318902,1082,-0.00301797,-1.286785E-08
1.4310622,3.57854E+07,4374.465,-0.4450555,3336.309,-0.3109965,-4.11702E-05
1.4823046,-599.9999,-419.7286,5.502797E-05,-13.3094,3.712325E-05,1.601681E-10
1.4823046,3.632994E+08,1203.854,-0.00447355,1082,-0.00301797,-1.302668E-08
1.4823046,3.57854E+07,4545.425,-0.4609917,3336.309,-0.3109965,-4.167027E-05
1.4991771,-599.9999,-419.9531,5.565433E-05,-13.3094,3.712325E-05,1.659032E-10
1.4991771,3.632994E+08,1222.11,-0.004524471,1082,-0.00301797,-1.348913E-08
1.4991771,3.57854E+07,4601.717,-0.4662389,3336.309,-0.3109965,-4.315819E-05
1.5159898,-599.9999,-420.1769,5.627847E-05,-13.3094,3.712325E-05,1.677917E-10
1.5159898,3.632994E+08,1240.301,-0.004575211,1082,-0.00301797,-1.364264E-08
1.5159898,3.57854E+07,4657.81,-0.4714676,3336.309,-0.3109965,-4.364941E-05
1.5329724,-599.9999,-420.4029,5.690892E-05,-13.3094,3.712325E-05,1.696734E-10
1.5329724,3.632994E+08,1258.676,-0.004626464,1082,-0.00301797,-1.379564E-08
1.5329724,3.57854E+07,4714.469,-0.4767492,3336.309,-0.3109965,-4.413892E-05
1.5498485,-599.9999,-420.6275,5.753542E-05,-13.3094,3.712325E-05,1.715741E-10
1.5498485,3.632994E+08,1276.936,-0.004677396,1082,-0.00301797,-1.395015E-08
1.5498485,3.57854E+07,4770.772,-0.4819976,3336.309,-0.3109965,-4.463334E-05
1.5667998,-599.9999,-420.8531,5.81647E-05,-13.3094,3.712325E-05,1.734629E-10
1.5667998,3.632994E+08,1295.277,-0.004728554,1082,-0.00301797,-1.410371E-08
1.5667998,3.57854E+07,4827.327,-0.4872694,3336.309,-0.3109965,-4.512469E-05
1.5837506,-599.9999,-421.0787,5.879397E-05,-13.3094,3.712325E-05,1.753602E-10
1.5837506,3.632994E+08,1313.618,-0.004779711,1082,-0.00301797,-1.425794E-08
1.5837506,3.57854E+07,4883.88,-0.492541,3336.309,-0.3109965,-4.561821E-05
1.6009167,-599.9999,-421.3072,5.943123E-05,-13.3094,3.712325E-05,1.772573E-10
1.6009167,3.632994E+08,1332.192,-0.004831518,1082,-0.00301797,-1.44122E-08
1.6009167,3.57854E+07,4941.152,-0.4978796,3336.309,-0.3109965,-4.611175E-05
1.6182785,-599.9999,-421.5383,6.007576E-05,-13.3094,3.712325E-05,1.791786E-10
1.6182785,3.632994E+08,1350.978,-0.004883916,1082,-0.00301797,-1.456841E-08
1.6182785,3.57854E+07,4999.076,-0.5032791,3336.309,-0.3109965,-4.661155E-05
1.6352463,-599.9999,-421.7641,6.070566E-05,-13.3094,3.712325E-05,1.811218E-10
1.6352463,3.632994E+08,1369.337,-0.004935124,1082,-0.00301797,-1.472634E-08
1.6352463,3.57854E+07,5055.686,-0.508556,3336.309,-0.3109965,-4.711698E-05
1.6522189,-599.9999,-421.99,6.133574E-05,-13.3094,3.712325E-05,1.830209E-10
1.6522189,3.632994E+08,1387.701,-0.004986347,1082,-0.00301797,-1.488073E-08
1.6522189,3.57854E+07,5112.312,-0.5138344,3336.309,-0.3109965,-4.761099E-05
1.6691786,-599.9999,-422.2158,6.196534E-05,-13.3094,3.712325E-05,1.849205E-10
1.6691786,3.632994E+08,1406.051,-0.005037531,1082,-0.00301797,-1.503516E-08
1.6691786,3.57854E+07,5168.895,-0.5191088,3336.309,-0.3109965,-4.810513E-05
1.686294,-599.9999,-422.4435,6.260072E-05,-13.3094,3.712325E-05,1.868186E-10
1.686294,3.632994E+08,1424.57,-0.005089185,1082,-0.00301797,-1.518949E-08
1.686294,3.57854E+07,5225.997,-0.5244316,3336.309,-0.3109965,-4.859892E-05
1.703157,-599.9999,-422.668,6.322673E-05,-13.3094,3.712325E-05,1.887343E-10
1.703157,3.632994E+08,1442.816,-0.005140077,1082,-0.00301797,-1.534519E-08
1.703157,3.57854E+07,5282.257,-0.529676,3336.309,-0.3109965,-4.909719E-05
1.7201342,-599.9999,-422.8939,6.385698E-05,-13.3094,3.712325E-05,1.906216E-10
1.7201342,3.632994E+08,1461.185,-0.005191314,1082,-0.00301797,-1.549864E-08
1.7201342,3.57854E+07,5338.898,-0.5349558,3336.309,-0.3109965,-4.958816E-05
1.7370486,-599.9999,-423.119,6.448489E-05,-13.3094,3.712325E-05,1.925217E-10
1.7370486,3.632994E+08,1479.487,-0.005242361,1082,-0.00301797,-1.565311E-08
1.7370486,3.57854E+07,5395.33,-0.5402161,3336.309,-0.3109965,-5.008243E-05
1.7542248,-599.9999,-423.3477,6.512253E-05,-13.3094,3.712325E-05,1.944148E-10
1.7542248,3.632994E+08,1498.071,-0.005294198,1082,-0.00301797,-1.580704E-08
1.7542248,3.57854E+07,5452.635,-0.5455579,3336.309,-0.3109965,-5.057491E-05
1.7711533,-599.9999,-423.573,6.575097E-05,-13.3094,3.712325E-05,1.963372E-10
1.7711533,3.632994E+08,1516.388,-0.005345288,1082,-0.00301797,-1.596329E-08
1.7711533,3.57854E+07,5509.114,-0.5508226,3336.309,-0.3109965,-5.107496E-05
1.7883878,-599.9999,-423.8023,6.639077E-05,-13.3094,3.712325E-05,1.982319E-10
1.7883878,3.632994E+08,1535.036,-0.005397301,1082,-0.00301797,-1.611736E-08
1.7883878,3.57854E+07,5566.613,-0.5561824,3336.309,-0.3109965,-5.156785E-05
1.8054497,-599.9999,-424.0294,6.702416E-05,-13.3094,3.712325E-05,2.001608E-10
1.8054497,3.632994E+08,1553.497,-0.005448793,1082,-0.00301797,-1.627415E-08
1.8054497,3.57854E+07,5623.537,-0.5614886,3336.309,-0.3109965,-5.20696E-05
1.8223562,-599.9999,-424.2544,6.765179E-05,-13.3094,3.712325E-05,2.020704E-10
1.8223562,3.632994E+08,1571.79,-0.005499816,1082,-0.00301797,-1.642938E-08
1.8223562,3.57854E+07,5679.942,-0.5667465,3336.309,-0.3109965,-5.256633E-05
1.8395545,-599.9999,-424.4833,6.829025E-05,-13.3094,3.712325E-05,2.039627E-10
1.8395545,3.632994E+08,1590.398,-0.005551721,1082,-0.00301797,-1.658324E-08
1.8395545,3.57854E+07,5737.321,-0.5720951,3336.309,-0.3109965,-5.305859E-05
1.8566433,-599.9999,-424.7108,6.892464E-05,-13.3094,3.712325E-05,2.058875E-10
1.8566433,3.632994E+08,1608.888,-0.005603294,1082,-0.00301797,-1.673971E-08
1.8566433,3.57854E+07,5794.335,-0.5774096,3336.309,-0.3109965,-5.355929E-05
1.8734891,-599.9999,-424.935,6.955001E-05,-13.3094,3.712325E-05,2.078002E-10
1.8734891,3.632994E+08,1627.115,-0.005654134,1082,-0.00301797,-1.689517E-08
1.8734891,3.57854E+07,5850.538,-0.5826486,3336.309,-0.3109965,-5.405679E-05
1.8901591,-599.9999,-425.1569,7.016885E-05,-13.3094,3.712325E-05,2.096856E-10
1.8901591,3.632994E+08,1645.152,-0.005704443,1082,-0.00301797,-1.704843E-08
1.8901591,3.57854E+07,5906.154,-0.5878329,3336.309,-0.3109965,-5.454722E-05
1.9070871,-599.9999,-425.3822,7.079727E-05,-13.3094,3.712325E-05,2.115513E-10
1.9070871,3.632994E+08,1663.468,-0.005755532,1082,-0.00301797,-1.720014E-08
1.9070871,3.57854E+07,5962.631,-0.5930974,3336.309,-0.3109965,-5.503259E-05
1.9237571,-599.9999,-425.604,7.141611E-05,-13.3094,3.712325E-05,2.13446E-10
1.9237571,3.632994E+08,1681.505,-0.005805841,1082,-0.00301797,-1.735414E-08
1.9237571,3.57854E+07,6018.247,-0.5982817,3336.309,-0.3109965,-5.55254E-05
